0.0,10.0,0.0,10.0,25.756
0.1,10.0,0.945,9.055,23.343
0.2,10.0,1.764,8.236,21.18
0.3,10.0,2.419,7.581,19.413
0.4,10.0,2.915,7.085,18.078
0.51,10.0,3.331,6.669,16.974
0.61,10.0,3.67,6.33,16.109
0.71,10.0,4.043,5.957,15.221
0.81,10.0,4.49,5.51,14.162
0.91,10.0,5.011,4.989,12.902
1.01,10.0,5.561,4.439,11.523
1.11,10.0,6.076,3.924,10.181
1.21,10.0,6.492,3.508,9.048
1.31,10.0,6.773,3.227,8.241
1.41,10.0,6.924,3.076,7.78
1.52,10.0,6.998,3.002,7.558
1.62,10.0,7.058,2.942,7.426
1.72,10.0,7.179,2.821,7.187
1.82,10.0,7.397,2.603,6.717
1.92,10.0,7.703,2.297,6.004
2.02,10.0,8.051,1.949,5.141
2.12,10.0,8.371,1.629,4.292
2.22,10.0,8.602,1.398,3.631
2.32,10.0,8.708,1.292,3.269
2.42,10.0,8.702,1.298,3.211
2.53,10.0,8.623,1.377,3.388
2.63,10.0,8.562,1.438,3.577
2.73,10.0,8.576,1.424,3.613
2.83,10.0,8.698,1.302,3.39
2.93,10.0,8.913,1.087,2.907
3.03,10.0,9.171,0.829,2.269
3.13,10.0,9.401,0.599,1.646
3.23,10.0,9.543,0.457,1.209
3.33,10.0,9.566,0.434,1.061
3.43,10.0,9.485,0.515,1.197
3.54,10.0,9.336,0.664,1.555
3.64,10.0,9.225,0.775,1.882
3.74,10.0,9.199,0.801,2.026
3.84,10.0,9.283,0.717,1.897
3.94,10.0,9.462,0.538,1.504
4.04,10.0,9.68,0.32,0.962
4.14,10.0,9.867,0.133,0.446
4.24,10.0,9.963,0.037,0.123
4.34,10.0,9.943,0.057,0.087
4.44,10.0,9.824,0.176,0.321
4.55,10.0,9.645,0.355,0.765
4.65,10.0,9.515,0.485,1.145
4.75,10.0,9.476,0.524,1.324
4.85,10.0,9.551,0.449,1.219
4.95,10.0,9.717,0.283,0.855
5.05,10.0,9.917,0.083,0.354
5.15,10.0,10.08,-0.08,-0.107
5.25,10.0,10.15,-0.15,-0.366
5.35,10.0,10.104,-0.104,-0.335
5.45,10.0,9.965,0.035,-0.045
5.56,10.0,9.773,0.227,0.438
5.66,10.0,9.639,0.361,0.835
5.76,10.0,9.601,0.399,1.013
5.86,10.0,9.677,0.323,0.904
5.96,10.0,9.84,0.16,0.541
6.06,10.0,10.032,-0.032,0.056
6.16,10.0,10.181,-0.181,-0.372
6.26,10.0,10.233,-0.233,-0.586
6.36,10.0,10.169,-0.169,-0.51
6.46,10.0,10.018,-0.018,-0.184
6.57,10.0,9.82,0.18,0.318
6.67,10.0,9.689,0.311,0.713
6.77,10.0,9.658,0.342,0.876
6.87,10.0,9.74,0.26,0.749
6.97,10.0,9.906,0.094,0.376
7.07,10.0,10.093,-0.093,-0.102
7.17,10.0,10.231,-0.231,-0.507
7.27,10.0,10.268,-0.268,-0.685
7.37,10.0,10.191,-0.191,-0.573
7.47,10.0,10.031,-0.031,-0.221
7.58,10.0,9.832,0.168,0.29
7.68,10.0,9.707,0.293,0.674
7.78,10.0,9.686,0.314,0.814
7.88,10.0,9.776,0.224,0.663
7.98,10.0,9.946,0.054,0.277
8.08,10.0,10.129,-0.129,-0.198
8.18,10.0,10.257,-0.257,-0.582
8.28,10.0,10.281,-0.281,-0.729
8.38,10.0,10.193,-0.193,-0.585
8.48,10.0,10.026,-0.026,-0.211
8.59,10.0,9.829,0.171,0.302
8.69,10.0,9.711,0.289,0.67
8.79,10.0,9.701,0.299,0.784
8.89,10.0,9.801,0.199,0.608
8.99,10.0,9.974,0.026,0.207
9.09,10.0,10.154,-0.154,-0.265
9.19,10.0,10.273,-0.273,-0.629
9.29,10.0,10.285,-0.285,-0.746
9.39,10.0,10.186,-0.186,-0.573
9.49,10.0,10.014,-0.014,-0.181
9.6,10.0,9.819,0.181,0.331
9.7,10.0,9.71,0.29,0.681
9.8,10.0,9.711,0.289,0.767
9.9,10.0,9.82,0.18,0.564
10.0,10.0,9.997,0.003,0.15
